date	topic	agents	phases	actionability	status	output_file	key_finding
2026-03-13	Reducing hallucination and improving factual accuracy in multi-agent LLM research systems 2025-2026	14	research,scout,applied,quality,synthesis	7.0	keep	reducing_hallucination_and_improving_factual_accur_20260313_234716.md	The research swarm's quality gate discards researcher confidence scores entirely — the confidence field is collected in RESEARCHER_OUTPUT_SCHEMA but never flows into evaluate_judge() or evaluate_criti
2026-03-14	Reducing applied agent failures and improving context-to-action conversion in multi-agent research pipelines 2025-2026	14	research,scout,quality,applied,synthesis	7.0	keep	reducing_applied_agent_failures_and_improving_cont_20260314_001515.md	Researcher confidence scores are collected in RESEARCHER_OUTPUT_SCHEMA but stripped by narrative_cast_research() before reaching applied agents or memory — the pipeline cannot distinguish high-confide
2026-03-14	Semantic similarity detection and redundancy elimination in parallel multi-agent research outputs 2025-2026	14	quality,synthesis,scout,research,applied	6.0	keep	semantic_similarity_detection_and_redundancy_elimi_20260314_041652.md	Pre-dispatch semantic gating at the orchestrator layer — blocking redundant agent spawns before they consume tokens — is the highest-leverage intervention for eliminating redundancy in parallel multi-
2026-03-14	Optimal multi-agent coordination patterns for LLM-based code generation systems 2025-2026	14	scout,quality,applied,synthesis,research	7.0	keep	optimal_multi_agent_coordination_patterns_for_llm_20260314_043044.md	Role-specialized sequential pipelines with bounded repair loops (generate→test→repair, capped at 3-5 iterations) consistently outperform flat peer-to-peer and autonomous multi-agent architectures for 
2026-03-14	Grounding multi-agent LLM systems with tool-augmented search and citation verification 2025-2026	14	applied,research,quality,synthesis,scout	6.0	keep	grounding_multi_agent_llm_systems_with_tool_augmen_20260314_044223.md	Hallucinations in multi-agent LLM pipelines concentrate at three specific pipeline boundaries (memory extraction, memory updating, cross-agent handoff), making boundary-targeted verification gates dra
2026-03-14	Automated evaluation frameworks for multi-agent LLM systems 2025-2026	13	synthesis,research,scout,quality,applied	6.0	discard	-	MARGINAL KEEP with verification risk flag. Actionability barely meets threshold (6) because applied 
2026-03-14	Automated evaluation frameworks for multi-agent LLM systems 2025-2026	14	synthesis,research,scout,applied,quality	8.0	keep	automated_evaluation_frameworks_for_multi_agent_ll_20260314_050205.md	Agent coordination topology (framework choice, graph wiring) has measurable, separable effects on multi-agent system performance independent of model choice — meaning model-only evaluation is fundamen
2026-03-14	Priority-aware context compression and information routing for multi-phase agent pipelines 2025-2026	14	research,synthesis,applied,scout,quality	7.0	keep	priority_aware_context_compression_and_information_20260314_051503.md	The highest-impact improvement for multi-agent pipelines is shifting context compression from post-hoc cleanup (dedup.py) to pre-dispatch prevention (orchestrator.py) — gating redundant agent spawns b
2026-03-14	Techniques for reducing latency and improving reliability in LLM-based autonomous coding agents 2025-2026	14	scout,synthesis,quality,research,applied	7.0	keep	techniques_for_reducing_latency_and_improving_reli_20260314_052646.md	Unbounded repair loops and missing pre-dispatch deduplication are the two highest-leverage latency and reliability gaps in LLM coding agent pipelines, with bounded FSM repair loops (3-5 iterations) an
2026-03-14	Lightweight semantic deduplication techniques for multi-agent research outputs 2025-2026	14	scout,quality,research,synthesis,applied	7.0	keep	lightweight_semantic_deduplication_techniques_for_20260314_063944.md	The research swarm's own output proves the problem: exact-string dedup caught only 2 of ~8 true duplicates, and prompt-layer scope enforcement (OUT OF SCOPE sections + canonical core_claim fields) is 
2026-03-14	Techniques for improving factuality in multi-agent LLM research pipelines 2025-2026	13	applied,research,synthesis,scout,quality	0.0	discard	-	
2026-03-14	Improving factuality in multi-agent LLM research pipelines 2025-2026	14	research,scout,quality,applied,synthesis	8.0	keep	improving_factuality_in_multi_agent_llm_research_p_20260314_081710.md	
